filename,true_label,predicted,correct,decision_value,fold,heatmap_mean,heatmap_max,heatmap_std
t131_cropped.JPG,0,1,0,295.484148,0,0.000000,0.000000,0.000000
t139_cropped.JPG,0,0,1,-188.752058,0,0.081254,1.000000,0.189983
t149_cropped.JPG,0,0,1,-115.131331,0,0.218830,1.000000,0.235885
t156_cropped.JPG,0,0,1,-522.530318,0,0.179003,1.000000,0.238264
t193_cropped.JPG,0,1,0,151.621721,0,0.138723,1.000000,0.206247
t209_cropped.JPG,0,0,1,-283.524824,0,0.106952,1.000000,0.198407
t279_cropped.JPG,0,0,1,-136.375655,0,0.204995,1.000000,0.247791
t35_cropped.JPG,0,0,1,-931.939497,0,0.066847,1.000000,0.156841
t43_cropped.JPG,0,1,0,65.687883,0,0.221863,1.000000,0.273332
t4_cropped.JPG,0,0,1,-1202.347700,0,0.198812,1.000000,0.194083
t78_cropped.JPG,0,0,1,-502.695601,0,0.152301,1.000000,0.170954
S10_cropped.JPG,1,1,1,249.851823,0,0.160603,1.000000,0.227959
S18_cropped.JPG,1,0,0,-325.935042,0,0.171328,1.000000,0.248592
S30_cropped.JPG,1,1,1,1167.006426,0,0.000000,0.000000,0.000000
S35_cropped.JPG,1,0,0,-1047.001509,0,0.126021,1.000000,0.178092
S8_cropped.JPG,1,1,1,2357.577593,0,0.342622,1.000000,0.326437
t114_cropped.JPG,0,0,1,-86.858765,1,0.075016,1.000000,0.200763
t12_cropped.JPG,0,0,1,-511.755280,1,0.338461,1.000000,0.271257
t138_cropped.JPG,0,1,0,242.059981,1,0.126848,1.000000,0.220874
t164_cropped.JPG,0,0,1,-262.865754,1,0.024077,1.000000,0.116715
t168_cropped.JPG,0,0,1,-51.883942,1,0.074902,1.000000,0.192375
t197_cropped.JPG,0,1,0,637.086394,1,0.134494,1.000000,0.222755
t207_cropped.JPG,0,0,1,-607.999543,1,0.225130,1.000000,0.218683
t52_cropped.JPG,0,0,1,-543.979279,1,0.277752,1.000000,0.311739
t71_cropped.JPG,0,0,1,-887.265534,1,0.345835,1.000000,0.306228
t84_cropped.JPG,0,0,1,-54.687379,1,0.067454,1.000000,0.169664
S14_cropped.JPG,1,0,0,-1728.207063,1,0.599012,1.000000,0.209833
S15_cropped.JPG,1,1,1,1741.433318,1,0.143228,1.000000,0.239138
S22_cropped.JPG,1,1,1,313.931686,1,0.127163,1.000000,0.189578
S25_cropped.JPG,1,1,1,185.174651,1,0.174149,1.000000,0.206025
S38_cropped.JPG,1,0,0,-108.690827,1,0.146502,1.000000,0.259791
S4_cropped.JPG,1,1,1,825.859466,1,0.283940,1.000000,0.221353
t118_cropped.JPG,0,0,1,-98.465464,2,0.217467,1.000000,0.256339
t132_cropped.JPG,0,0,1,-433.052043,2,0.234382,1.000000,0.241701
t202_cropped.JPG,0,0,1,-75.550120,2,0.358771,1.000000,0.266128
t206_cropped.JPG,0,1,0,449.255986,2,0.088642,1.000000,0.213038
t249_cropped.JPG,0,1,0,1037.641561,2,0.094091,1.000000,0.202467
t298_cropped.JPG,0,1,0,1840.071798,2,0.183456,1.000000,0.206055
t3_cropped.JPG,0,1,0,526.312810,2,0.245232,1.000000,0.296934
t46_cropped.JPG,0,1,0,468.515828,2,0.129426,1.000000,0.198492
t50_cropped.JPG,0,1,0,1061.686422,2,0.167820,1.000000,0.260128
t98_cropped.JPG,0,1,0,12.544698,2,0.210431,1.000000,0.268067
S20_cropped.JPG,1,1,1,7817.279683,2,0.059045,1.000000,0.147220
S23_2_cropped.JPG,1,1,1,2903.134420,2,0.000000,0.000000,0.000000
S31_cropped.JPG,1,1,1,221.152028,2,0.173440,1.000000,0.234429
S32_cropped.JPG,1,1,1,7568.016988,2,0.022359,1.000000,0.117216
S3_cropped.JPG,1,1,1,1703.449239,2,0.305574,1.000000,0.254311
S5_cropped.JPG,1,1,1,101.066488,2,0.142969,1.000000,0.203961
t106_cropped.JPG,0,1,0,27.358606,3,0.083973,1.000000,0.164708
t120_cropped.JPG,0,1,0,448.339563,3,0.065879,1.000000,0.156441
t130_cropped.JPG,0,0,1,-144.133398,3,0.026515,1.000000,0.105211
t157_cropped.JPG,0,1,0,564.497949,3,0.058343,1.000000,0.134660
t163_cropped.JPG,0,0,1,-332.024756,3,0.145755,1.000000,0.191022
t24_cropped.JPG,0,0,1,-261.250952,3,0.171890,1.000000,0.246920
t34_cropped.JPG,0,1,0,447.878778,3,0.061461,1.000000,0.149129
t44_cropped.JPG,0,1,0,65.747339,3,0.024889,1.000000,0.123632
t45_cropped.JPG,0,1,0,142.908197,3,0.078933,1.000000,0.183375
t99_cropped.JPG,0,0,1,-138.979040,3,0.114629,1.000000,0.187925
S12_cropped.JPG,1,1,1,711.782121,3,0.101038,1.000000,0.219934
S16_cropped.JPG,1,1,1,815.387796,3,0.000000,0.000000,0.000000
S29_2_cropped.JPG,1,1,1,768.256357,3,0.101417,1.000000,0.169781
S2_cropped.JPG,1,1,1,314.314111,3,0.123899,1.000000,0.220788
S7_Cropped.JPG,1,1,1,727.165369,3,0.145201,1.000000,0.275528
S9_cropped.JPG,1,1,1,323.614679,3,0.063086,1.000000,0.155756
t105_cropped.JPG,0,0,1,-407.049234,4,0.374965,1.000000,0.279309
t113_cropped.JPG,0,0,1,-107.764749,4,0.191647,1.000000,0.168040
t148_cropped.JPG,0,0,1,-550.623575,4,0.093012,1.000000,0.136006
t152_cropped.JPG,0,0,1,-468.307108,4,0.327830,1.000000,0.250300
t167_cropped.JPG,0,0,1,-515.634622,4,0.281007,1.000000,0.258834
t203_cropped.JPG,0,0,1,-449.687540,4,0.069721,1.000000,0.183362
